feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911247|South Fork Rio Hondo|Stream|New Mexico|35|Taos|055|Arroyo Seco|11/13/1980|||||363427N|1053030W|36.5741946|-105.5083408|363215N|1052715W|36.5375289|-105.4541744
911248|South Fork Rio Quemado|Stream|New Mexico|35|Rio Arriba|039|El Valle|11/13/1980|||||360014N|1054218W|36.0039155|-105.7050168|355803N|1053847W|35.9675279|-105.6464054
911249|South Fork Rio Ruidoso|Stream|New Mexico|35|Lincoln|027|Ruidoso|11/13/1980|||||332012N|1054432W|33.3367477|-105.7422087|332147N|1054938W|33.363135|-105.8272108
911250|South Fork Rito Azul|Stream|New Mexico|35|Mora|033|Pecos Falls|11/13/1980|||||355557N|1053641W|35.9325289|-105.6114052|355558N|1053758W|35.9328065|-105.6327942
911251|South Fork Road Canyon|Valley|New Mexico|35|Grant|017|Willow Draw|11/13/1980|04/01/2020||||323700N|1084029W|32.6166993|-108.6747563|323656N|1083415W|32.6154883|-108.570913
911252|South Fork Salado Creek|Stream|New Mexico|35|Lincoln|027|Capitan|11/13/1980||Official|Board Decision|01/01/1977|333444N|1053716W|33.5789672|-105.6210944|333720N|1054023W|33.622299|-105.6730398
911253|South Fork Silver Creek|Stream|New Mexico|35|Catron|003|Mogollon|11/13/1980|||||332345N|1084801W|33.3958949|-108.80034|332213N|1084628W|33.3703401|-108.7745057
911254|South Fork Tesuque Creek|Stream|New Mexico|35|Santa Fe|049|Aspen Basin|11/13/1980|||||354554N|1054901W|35.7650297|-105.8169638|354527N|1054820W|35.7575|-105.8055556
911256|South Fork Tularosa Canyon|Valley|New Mexico|35|Otero|035|Mescalero|11/13/1980|01/29/2020||||330911N|1054622W|33.1530742|-105.7726422|330115N|1054110W|33.0208724|-105.6860376
911257|South Fork Whitewater Creek|Stream|New Mexico|35|Catron|003|Holt Mountain|11/13/1980|||||332159N|1084835W|33.366451|-108.8097844|331740N|1084609W|33.2944444|-108.7691667
911258|South Guam|Populated Place|New Mexico|35|McKinley|031|Ciniza|11/13/1980|06/07/2022||||352830N|1082245W|35.4750242|-108.3792403|||0.0|0.0
911259|South Hackberry Draw|Valley|New Mexico|35|Eddy|015|Bond Draw|11/13/1980|05/23/2023||||320733N|1041319W|32.1258212|-104.221852|320717N|1041648W|32.1214391|-104.2799646
911260|South Hammock Canyon|Valley|New Mexico|35|Otero|035|Sheep Draw|11/13/1980|||||321027N|1050142W|32.1742758|-105.0282915|321006N|1045859W|32.1684424|-104.9830125
911261|South Kuykendall Draw|Valley|New Mexico|35|Eddy|015|Carnero Peak|11/13/1980|10/01/2025|Official|Board Decision|01/01/1977|321803N|1042554W|32.3007876|-104.4316628|321816N|1043112W|32.304566|-104.5200003
911262|South Mesa|Summit|New Mexico|35|Sierra|051|Baily Points|11/13/1980|04/10/2020||||331713N|1075535W|33.2869277|-107.9264184|||0.0|0.0
911263|South Mountain|Summit|New Mexico|35|Catron|003|Dillon Mountain|02/07/2022|09/22/2023||||334821N|1084847W|33.8058815|-108.8131114|||0.0|0.0
911264|South Percha Creek|Stream|New Mexico|35|Sierra|051|Kingston|11/13/1980|||||325513N|1073943W|32.9203515|-107.661976|325415N|1074559W|32.9042406|-107.7664226
911265|South Petaca|Populated Place|New Mexico|35|Rio Arriba|039|La Madera|11/13/1980|06/07/2022||||362950N|1060037W|36.4972407|-106.0102961|||0.0|0.0
911267|South Poñil Creek|Stream|New Mexico|35|Colfax|007|Cimarron|11/13/1980|08/22/2011||||363513N|1045756W|36.5869|-104.96544|363811N|1051300W|36.6363889|-105.2166667
911268|South Rattlesnake Canyon|Valley|New Mexico|35|Eddy|015|Serpentine Bends|11/13/1980|06/21/2017||||320953N|1043056W|32.1648101|-104.5156263|320809N|1043342W|32.1359604|-104.5617142
911269|South Rinconada Canyon|Valley|New Mexico|35|Otero|035|Mescalero|11/13/1980|01/29/2020||||331401N|1055122W|33.2336176|-105.8560013|331711N|1054632W|33.2863828|-105.7756021
911270|South San Ysidro|Populated Place|New Mexico|35|San Miguel|047|North San Ysidro|11/13/1980|06/07/2022||||352700N|1053439W|35.4500409|-105.5775143|||0.0|0.0
911271|South Sand Canyon|Valley|New Mexico|35|Catron|003|Squirrel Springs Canyon|11/13/1980|02/04/2020||||334926N|1083439W|33.8237876|-108.5775302|334831N|1083134W|33.8085284|-108.5262372
911272|South Sandia Peak|Summit|New Mexico|35|Bernalillo|001|Tijeras|11/13/1980|01/22/2020||||350713N|1062550W|35.1202126|-106.4305274|||0.0|0.0
